Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Sunday,Over 51,Male,High school,Owner,Above 10yr,Public (> 45 seats),Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Serious Injury,17
Saturday,Under 18,Male,Unknown,Unknown,Unknown,Lorry (11?40Q),Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No distancing,Slight Injury,14
Saturday,Unknown,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from driver's nearside,No priority to pedestrian,Slight Injury,14
Monday,18-30,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Waiting to go,Not a Pedestrian,Changing lane to the left,Slight Injury,8
Tuesday,18-30,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Tuesday,Unknown,Male,Junior high school,Owner,2-5yr,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,19
Sunday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,17
Sunday,31-50,Male,High school,Owner,5-10yr,Pick up upto 10Q,Owner,Above 10yr,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Sunday,18-30,Male,Junior high school,Owner,Unknown,Motorcycle,Owner,Above 10yr,Unknown,Office areas,other,Tangent road with mountainous terrain and,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Getting off,Not a Pedestrian,Moving Backward,Slight Injury,18
Friday,31-50,Male,Unknown,Owner,Below 1yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,9
Friday,18-30,Male,Elementary school,Owner,Above 10yr,Pick up upto 10Q,Unknown,Unknown,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,9
Tuesday,31-50,Male,Elementary school,Owner,Below 1yr,Motorcycle,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,17
Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Stationwagen,Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,Changing lane to the left,Serious Injury,17
Wednesday,Unknown,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,8
Wednesday,18-30,Male,Unknown,Owner,Unknown,Taxi,Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,8
Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from driver's nearside,Changing lane to the right,Slight Injury,9
Monday,18-30,Male,High school,Owner,5-10yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,9
Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,19
Thursday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Getting off,Not a Pedestrian,Moving Backward,Slight Injury,19
Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,21
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,No defect, Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,21
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,23
Saturday,31-50,Male,Junior high school,Employee,No Licence,Other,Owner,5-10yrs,No defect,Other,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,23
Saturday,31-50,Male,Above high school,Employee,Below 1yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury,23
Monday,31-50,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,5-10yrs,No defect, Church areas,Unknown,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,20
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,1-2yr,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,No distancing,Slight Injury,20
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Long lorry,Unknown,Unknown,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,20
Thursday,Unknown,Male,High school,Employee,5-10yr,Automobile,Owner,Above 10yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Taxi,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,Going straight,Unknown or other,Moving Backward,Slight Injury,17
Monday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Above 10yr,Unknown, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No distancing,Serious Injury,13
Monday,18-30,Male,Writing & reading,Employee,5-10yr,Long lorry,Governmental,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,13
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Governmental,Above 10yr,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,No priority to vehicle,Serious Injury,13
Monday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Organization,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,13
Sunday,Unknown,Male,Writing & reading,Employee,Below 1yr,Long lorry,Organization,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Serious Injury,12
Sunday,18-30,Male,Elementary school,Employee,1-2yr,Turbo,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Crossing from driver's nearside,No distancing,Serious Injury,12
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Windy,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,18
Tuesday,31-50,Male,Elementary school,Employee,Above 10yr,Long lorry,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Windy,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury,18
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,2-5yrs,No defect, Church areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving carelessly,Serious Injury,8
Friday,Under 18,Male,Elementary school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,Unknown,Undivided Two way,Tangent road with flat terrain,Other,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Changing lane to the right,Serious Injury,8
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,Unknown,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,13
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,13
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,18
Wednesday,Unknown,Female,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,20
Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Unknown,Governmental,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,1,Going straight,"Walking along in carriageway, back to traffic",Changing lane to the left,Slight Injury,21
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Getting off,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,8
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Not a Pedestrian,Overloading,Slight Injury,8
Thursday,18-30,Male,Elementary school,Employee,Above 10yr,Long lorry,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,8
Thursday,18-30,Male,Elementary school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,Overtaking,Slight Injury,8
Thursday,18-30,Male,Elementary school,Other,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,8
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,2,Unknown,Not a Pedestrian,Overturning,Serious Injury,16
Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Organization,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Wet or damp,Daylight,Raining,Collision with pedestrians,2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,16
Sunday,18-30,Unknown,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,21
